batavg,batsr,bowlavg,bowleco,bowlsr,ball_no,innings,runs
34.66,138.66,32.62,8.21,23.8,12.6,1,1
39.5,191.12,32.62,8.21,23.8,12.7,1,0
34.66,138.66,40.66,7.17,34,13.1,1,1
39.5,191.12,40.66,7.17,34,13.2,1,7
34.66,138.66,40.66,7.17,34,13.3,1,1
25.87,143.75,40.66,7.17,34,13.4,1,1
34.66,138.66,40.66,7.17,34,13.5,1,1
25.87,143.75,40.66,7.17,34,13.6,1,1
25.87,143.75,27.6,8.62,19.2,14.1,1,4
25.87,143.75,27.6,8.62,19.2,14.2,1,0
25.87,143.75,27.6,8.62,19.2,14.3,1,1
34.66,138.66,27.6,8.62,19.2,14.4,1,2
34.66,138.66,27.6,8.62,19.2,14.5,1,1
25.87,143.75,27.6,8.62,19.2,14.6,1,1
25.87,143.75,9.58,6.76,8.5,15.1,1,4
25.87,143.75,9.58,6.76,8.5,15.2,1,1
34.66,138.66,9.58,6.76,8.5,15.3,1,7
6.28,69.84,9.58,6.76,8.5,15.4,1,0
6.28,69.84,9.58,6.76,8.5,15.5,1,1
25.87,143.75,9.58,6.76,8.5,15.6,1,1
25.87,143.75,27.6,8.62,19.2,16.1,1,1
6.28,69.84,27.6,8.62,19.2,16.2,1,1
25.87,143.75,27.6,8.62,19.2,16.3,1,1
6.28,69.84,27.6,8.62,19.2,16.4,1,1
25.87,143.75,27.6,8.62,19.2,16.5,1,6
25.87,143.75,27.6,8.62,19.2,16.6,1,0
6.28,69.84,21,7.57,16.6,17.1,1,0
6.28,69.84,21,7.57,16.6,17.2,1,1
25.87,143.75,21,7.57,16.6,17.3,1,0
25.87,143.75,21,7.57,16.6,17.4,1,1
6.28,69.84,21,7.57,16.6,17.5,1,0
6.28,69.84,21,7.57,16.6,17.6,1,1
25.87,143.75,21,7.57,16.6,17.7,1,4
6.28,69.84,32.62,8.21,23.8,18.1,1,1
25.87,143.75,32.62,8.21,23.8,18.2,1,7
10,157.89,32.62,8.21,23.8,18.3,1,1
6.28,69.84,32.62,8.21,23.8,18.4,1,1
10,157.89,32.62,8.21,23.8,18.5,1,0
10,157.89,32.62,8.21,23.8,18.6,1,6
6.28,69.84,21,7.57,16.6,19.1,1,6
6.28,69.84,21,7.57,16.6,19.2,1,6
6.28,69.84,21,7.57,16.6,19.3,1,6
6.28,69.84,21,7.57,16.6,19.4,1,4
6.28,69.84,21,7.57,16.6,19.5,1,6
6.28,69.84,21,7.57,16.6,19.6,1,7
6.28,69.84,21,7.57,16.6,19.7,1,0
43.63,126.64,36.55,7.65,28.6,0.1,2,1
9,108,36.55,7.65,28.6,0.2,2,4
9,108,36.55,7.65,28.6,0.3,2,0
9,108,36.55,7.65,28.6,0.4,2,1
43.63,126.64,36.55,7.65,28.6,0.5,2,0
43.63,126.64,36.55,7.65,28.6,0.6,2,0
43.63,126.64,36.55,7.65,28.6,0.7,2,1
43.63,126.64,51,9.18,33.3,1.1,2,4
43.63,126.64,51,9.18,33.3,1.2,2,4
43.63,126.64,51,9.18,33.3,1.3,2,1
9,108,51,9.18,33.3,1.4,2,0
43.63,126.64,51,9.18,33.3,1.5,2,4
43.63,126.64,51,9.18,33.3,1.6,2,1
43.63,126.64,36.55,7.65,28.6,2.1,2,0
43.63,126.64,36.55,7.65,28.6,2.2,2,0
43.63,126.64,36.55,7.65,28.6,2.3,2,6
43.63,126.64,36.55,7.65,28.6,2.4,2,4
43.63,126.64,36.55,7.65,28.6,2.5,2,1
9,108,36.55,7.65,28.6,2.6,2,1
9,108,25.64,8.17,18.8,3.1,2,7
45,153.4,25.64,8.17,18.8,3.2,2,0
45,153.4,25.64,8.17,18.8,3.3,2,1
43.63,126.64,25.64,8.17,18.8,3.4,2,1
45,153.4,25.64,8.17,18.8,3.5,2,2
45,153.4,25.64,8.17,18.8,3.6,2,0
43.63,126.64,27.06,7.8,20.8,4.1,2,1
45,153.4,27.06,7.8,20.8,4.2,2,1
43.63,126.64,27.06,7.8,20.8,4.3,2,0
43.63,126.64,27.06,7.8,20.8,4.4,2,1
45,153.4,27.06,7.8,20.8,4.5,2,0
45,153.4,27.06,7.8,20.8,4.6,2,1
45,153.4,25.64,8.17,18.8,5.1,2,4
45,153.4,25.64,8.17,18.8,5.2,2,1
43.63,126.64,25.64,8.17,18.8,5.3,2,6
